NAME OF DATA ELEMENT,developer-friendly name,VARIABLE NAME,API data type,VALUE,LABEL
,,,,6,"Small Town (an incorporated place or Census-designated place with a population less than 25,000 and greater than or equal to 2,500 and located outside a CMSA or MSA)"
,,,,7,"Rural, Outside MSA (any territory designated as rural by the Census Bureau that is outside a CMSA or MSA of a Large or Mid-Size City)"
,,,,8,"Rural, Inside MSA (any territory designated as rural by the Census Bureau that is within a CMSA or MSA of a Large or Mid-Size City)"
Carnegie Classification -- basic,carnegie_basic,CCBASIC,integer,0,Not classified
,,,,1,Associate's--Public Rural-serving Small
,,,,2,Associate's--Public Rural-serving Medium
,,,,3,Associate's--Public Rural-serving Large
,,,,4,Associate's--Public Suburban-serving Single Campus
,,,,5,Associate's--Public Suburban-serving Multicampus
,,,,6,Associate's--Public Urban-serving Single Campus
,,,,7,Associate's--Public Urban-serving Multicampus
,,,,8,Associate's--Public Special Use
,,,,9,Associate's--Private Not-for-profit
,,,,10,Associate's--Private For-profit
,,,,11,Associate's--Public 2-year colleges under 4-year universities
,,,,12,Associate's--Public 4-year Primarily Associate's
,,,,13,Associate's--Private Not-for-profit 4-year Primarily Associate's
,,,,14,Associate's--Private For-profit 4-year Primarily Associate's
,,,,15,Research Universities (very high research activity)
,,,,16,Research Universities (high research activity)
,,,,17,Doctoral/Research Universities
,,,,18,Master's Colleges and Universities (larger programs)
,,,,19,Master's Colleges and Universities (medium programs)
,,,,20,Master's Colleges and Universities (smaller programs)
,,,,21,Baccalaureate Colleges--Arts & Sciences
,,,,22,Baccalaureate Colleges--Diverse Fields
,,,,23,Baccalaureate/Associate's Colleges
,,,,24,"Special Focus Institutions--Theological seminaries, Bible colleges, and other faith-related institutions"
,,,,25,Special Focus Institutions--Medical schools and medical centers
,,,,26,Special Focus Institutions--Other health professions schools
,,,,27,Special Focus Institutions--Schools of engineering
,,,,28,Special Focus Institutions--Other technology-related schools
,,,,29,Special Focus Institutions--Schools of business and management
,,,,30,"Special Focus Institutions--Schools of art, music, and design"
,,,,31,Special Focus Institutions--Schools of law
,,,,32,Special Focus Institutions--Other special-focus institutions
,,,,33,Tribal Colleges
Carnegie Classification -- undergraduate profile,carnegie_undergrad,CCUGPROF,integer,1,Higher part-time two-year (associate’s degree-granting institutions with at least 60 percent of undergraduates enrolled part-time)
,,,,2,Mixed part/full-time two-year (associate’s degree-granting institutions with 40 to 59 percent of undergraduates enrolled part-time)
,,,,3,Medium full-time two-year (associate’s degree-granting institutions with 10 to 39 percent of undergraduates enrolled part-time)
,,,,4,Higher full-time two-year (associate’s degree-granting institutions with less than 10 percent of undergraduates enrolled part-time)
,,,,5,Higher part-time four-year (bachelor’s degree-granting institutions with at least 40 percent of undergraduates enrolled part-time)
,,,,6,"Medium full-time four-year, inclusive (bachelor’s degree-granting institutions with 60 to 79 percent of undergraduates enrolled full-time that either did not report test score data or the scores indicate that they provide educational opportunity to students with varying levels academic preparation and achievement)"
,,,,7,"Medium full-time four-year, selective, lower transfer-in (bachelor’s degree-granting institutions with 60 to 79 percent of undergraduates enrolled full-time, that are selective in admissions, and where less than 20 percent of entering undergraduates are transfer students)"
,,,,8,"Medium full-time four-year, selective, higher transfer-in (bachelor’s degree-granting institutions with 60 to 79 percent of undergraduates enrolled full-time, that are selective in admissions, and where at least 20 percent of entering undergraduates are transfer students)"
,,,,9,"Full-time four-year, inclusive (bachelor’s degree-granting institutions with at least 80 percent of undergraduates enrolled full-time that either did not report test score data or the scores indicate that they provide educational opportunity to students with varying levels academic preparation and achievement)"
,,,,10,"Full-time four-year, selective, lower transfer-in (bachelor’s degree-granting institutions with at least 80 percent of undergraduates enrolled full-time, that are selective in admissions, and where less than 20 percent of entering undergraduates are transfer students)"
,,,,11,"Full-time four-year, selective, higher transfer-in (bachelor’s degree-granting institutions with at least 80 percent of undergraduates enrolled full-time, that are selective in admissions, and where at least 20 percent of entering undergraduates are transfer students)"
,,,,12,"Full-time four-year, more selective, lower transfer-in (bachelor’s degree-granting institutions with at least 80 percent of undergraduates enrolled full-time, that are more selective in admissions, and where less than 20 percent of entering undergraduates are transfer students)"
,,,,13,"Full-time four-year, more selective, higher transfer-in (bachelor’s degree-granting institutions with at least 80 percent of undergraduates enrolled full-time, that are more selective in admissions, and where at least 20 percent of entering undergraduates are transfer students)"
,,,,14,Not classified or not applicable
Carnegie Classification -- size and setting,carnegie_size_setting,CCSIZSET,integer,1,"Very small 2-year (confers associate’s degrees, FTE enrollment less than 500)"
,,,,2,"Small 2-year (confers associate’s degrees, FTE enrollment 500 to 1,999)"
,,,,3,"Medium 2-year (confers associate’s degrees, FTE enrollment 2000 to 4,999)"
,,,,4,"Large 2-year (confers associate’s degrees, FTE enrollment 5000 to 9,999)"
,,,,5,"Very large 2-year (confers associate’s degrees, FTE enrollment 10,000 or more)"
,,,,6,"Very small 4-year, primarily nonresidential (confers bachelor’s degrees, FTE enrollment less than 1,000, less than 25 percent of degree-seeking undergraduates live on campus and/or less than 50 percent attend full time)"
,,,,7,"Very small 4-year, primarily residential (confers bachelor’s degrees, FTE enrollment less than 1,000, 25 to 49 percent of degree-seeking undergraduates live on campus and at least 50 percent attend full time)"
,,,,8,"Very small 4-year, highly residential (confers bachelor’s degrees, FTE enrollment less than 1,000, at least 50 percent of degree-seeking undergraduates live on campus and at least 80 percent attend full time)"
,,,,9,"Small 4-year, primarily nonresidential (confers bachelor’s degrees, FTE enrollment 1,000 to 2,999, less than 25 percent of degree-seeking undergraduates live on campus and/or less than 50 percent attend full time)"
,,,,10,"Small 4-year, primarily residential (confers bachelor’s degrees, FTE enrollment 1,000 to 2,999, 25 to 49 percent of degree-seeking undergraduates live on campus and at least 50 percent attend full time)"
,,,,11,"Small 4-year, highly residential (confers bachelor’s degrees, FTE enrollment 1,000 to 2,999, at least 50 percent of degree-seeking undergraduates live on campus and at least 80 percent attend full time)"
,,,,12,"Medium 4-year, primarily nonresidential (confers bachelor’s degrees, FTE enrollment 3,000 to 9,999, less than 25 percent of degree-seeking undergraduates live on campus and/or less than 50 percent attend full time)"
,,,,13,"Medium 4-year, primarily residential (confers bachelor’s degrees, FTE enrollment 3,000 to 9,999, 25 to 49 percent of degree-seeking undergraduates live on campus and at least 50 percent attend full time)"
,,,,14,"Medium 4-year, highly residential (confers bachelor’s degrees, FTE enrollment 3,000 to 9,999, at least 50 percent of degree-seeking undergraduates live on campus and at least 80 percent attend full time)"
,,,,15,"Large 4-year, primarily nonresidential (confers bachelor’s degrees, FTE enrollment over 9,999, less than 25 percent of degree-seeking undergraduates live on campus and/or less than 50 percent attend full time)"
,,,,16,"Large 4-year, primarily residential (confers bachelor’s degrees, FTE enrollment over 9,999, 25 to 49 percent of degree-seeking undergraduates live on campus and at least 50 percent attend full time)"
,,,,17,"Large 4-year, highly residential (confers bachelor’s degrees, FTE enrollment over 9,999, at least 50 percent of degree-seeking undergraduates live on campus and at least 80 percent attend full time)"
,,,,18,"Not applicable, special-focus institution"
Flag for Historically Black College and University,minority_serving.historically_black,HBCU,integer,0,No
,,,,1,Yes
Flag for predominantly black institution,minority_serving.predominantly_black,PBI,integer,0,No
,,,,1,Yes
Flag for Alaska Native Native Hawaiian serving institution,minority_serving.annh,ANNHI,integer,0,No
,,,,1,Yes
Flag for tribal college and university,minority_serving.tribal,TRIBAL,integer,0,No
,,,,1,Yes
Flag for Asian American Native American Pacific Islander-serving institution,minority_serving.aanipi,AANAPII,integer,0,No
,,,,1,Yes
Flag for Hispanic-serving institution,minority_serving.hispanic,HSI,integer,0,No
,,,,1,Yes
Flag for Native American non-tribal institution,minority_serving.nant,NANTI,integer,0,No
,,,,1,Yes
Flag for men-only college,men_only,MENONLY,integer,0,No
,,,,1,Yes
Flag for women-only college,women_only,WOMENONLY,integer,0,No
,,,,1,Yes
Religous affiliation of the institution,religious_affiliation,RELAFFIL,integer,-1,Not reported
,,,,-2,Not applicable
,,,,22,American Evangelical Lutheran Church
,,,,24,African Methodist Episcopal Zion Church
,,,,27,Assemblies of God Church
,,,,28,Brethren Church
,,,,30,Roman Catholic
,,,,33,Wisconsin Evangelical Lutheran Synod
,,,,34,Christ and Missionary Alliance Church
,,,,35,Christian Reformed Church
,,,,36,Evangelical Congregational Church
,,,,37,Evangelical Covenant Church of America
,,,,38,Evangelical Free Church of America
,,,,39,Evangelical Lutheran Church
,,,,40,International United Pentecostal Church
,,,,41,Free Will Baptist Church
,,,,42,Interdenominational
,,,,43,Mennonite Brethren Church
,,,,44,Moravian Church
,,,,45,North American Baptist
,,,,47,Pentecostal Holiness Church
,,,,48,Christian Churches and Churches of Christ
,,,,49,Reformed Church in America
,,,,50,"Episcopal Church, Reformed"
,,,,51,African Methodist Episcopal
,,,,52,American Baptist
,,,,53,American Lutheran
,,,,54,Baptist
,,,,55,Christian Methodist Episcopal
,,,,57,Church of God
,,,,58,Church of Brethren
,,,,59,Church of the Nazarene
,,,,60,Cumberland Presbyterian
,,,,61,Christian Church (Disciples of Christ)
,,,,64,Free Methodist
,,,,65,Friends
,,,,66,Presbyterian Church (USA)
,,,,67,Lutheran Church in America
,,,,68,Lutheran Church - Missouri Synod
,,,,69,Mennonite Church
,,,,71,United Methodist
,,,,73,Protestant Episcopal
,,,,74,Churches of Christ
,,,,75,Southern Baptist
,,,,76,United Church of Christ
,,,,77,"Protestant, not specified"
,,,,78,Multiple Protestant Denomination
,,,,79,Other Protestant
,,,,80,Jewish
,,,,81,Reformed Presbyterian Church
,,,,84,United Brethren Church
,,,,87,Missionary Church Inc
,,,,88,Undenominational
,,,,89,Wesleyan
,,,,91,Greek Orthodox
,,,,92,Russian Orthodox
,,,,93,Unitarian Universalist
,,,,94,Latter Day Saints (Mormon Church)
,,,,95,Seventh Day Adventists
,,,,97,The Presbyterian Church in America
,,,,99,Other (none of the above)
,,,,100,Original Free Will Baptist
,,,,101,Ecumenical Christian
,,,,102,Evangelical Christian
,,,,103,Presbyterian
Admission rate,admission_rate.overall,ADM_RATE,float,,
Admission rate for all campuses rolled up to the 6-digit OPE ID,admission_rate.by_ope_id,ADM_RATE_ALL,float,,
25th percentile of SAT scores at the institution (critical reading),sat_scores.25th_percentile.critical_reading,SATVR25,float,,
75th percentile of SAT scores at the institution (critical reading),sat_scores.75th_percentile.critical_reading,SATVR75,float,,
25th percentile of SAT scores at the institution (math),sat_scores.25th_percentile.math,SATMT25,float,,
75th percentile of SAT scores at the institution (math),sat_scores.75th_percentile.math,SATMT75,float,,
25th percentile of SAT scores at the institution (writing),sat_scores.25th_percentile.writing,SATWR25,float,,
75th percentile of SAT scores at the institution (writing),sat_scores.75th_percentile.writing,SATWR75,float,,
Midpoint of SAT scores at the institution (critical reading),sat_scores.midpoint.critical_reading,SATVRMID,float,,
Midpoint of SAT scores at the institution (math),sat_scores.midpoint.math,SATMTMID,float,,
Midpoint of SAT scores at the institution (writing),sat_scores.midpoint.writing,SATWRMID,float,,
25th percentile of the ACT cumulative score,act_scores.25th_percentile.cumulative,ACTCM25,float,,
75th percentile of the ACT cumulative score,act_scores.75th_percentile.cumulative,ACTCM75,float,,
25th percentile of the ACT English score,act_scores.25th_percentile.english,ACTEN25,float,,
75th percentile of the ACT English score,act_scores.75th_percentile.english,ACTEN75,float,,
25th percentile of the ACT math score,act_scores.25th_percentile.math,ACTMT25,float,,
75th percentile of the ACT math score,act_scores.75th_percentile.math,ACTMT75,float,,
25th percentile of the ACT writing score,act_scores.25th_percentile.writing,ACTWR25,float,,
75th percentile of the ACT writing score,act_scores.75th_percentile.writing,ACTWR75,float,,
Midpoint of the ACT cumulative score,act_scores.midpoint.cumulative,ACTCMMID,float,,
Midpoint of the ACT English score,act_scores.midpoint.english,ACTENMID,float,,
Midpoint of the ACT math score,act_scores.midpoint.math,ACTMTMID,float,,
Midpoint of the ACT writing score,act_scores.midpoint.writing,ACTWRMID,float,,
Average SAT equivalent score of students admitted,sat_scores.average.overall,SAT_AVG,float,,
Average SAT equivalent score of students admitted for all campuses rolled up to the 6-digit OPE ID,sat_scores.average.by_ope_id,SAT_AVG_ALL,float,,
"Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences.",program_percentage.agriculture,PCIP01,float,,"Agriculture, Agriculture Operations, and Related Sciences"
Percentage of degrees awarded in Natural Resources And Conservation.,program_percentage.resources,PCIP03,float,,Natural Resources and Conservation
Percentage of degrees awarded in Architecture And Related Services.,program_percentage.architecture,PCIP04,float,,Architecture and Related Services
"Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies.",program_percentage.ethnic_cultural_gender,PCIP05,float,,"Area, Ethnic, Cultural, Gender, and Group Studies"
"Percentage of degrees awarded in Communication, Journalism, And Related Programs.",program_percentage.communication,PCIP09,float,,"Communication, Journalism, and Related Programs"
Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.,program_percentage.communications_technology,PCIP10,float,,Communications Technologies/Technicians and Support Services
Percentage of degrees awarded in Computer And Information Sciences And Support Services.,program_percentage.computer,PCIP11,float,,Computer and Information Sciences and Support Services
Percentage of degrees awarded in Personal And Culinary Services.,program_percentage.personal_culinary,PCIP12,float,,Personal and Culinary Services
Percentage of degrees awarded in Education.,program_percentage.education,PCIP13,float,,Education
Percentage of degrees awarded in Engineering.,program_percentage.engineering,PCIP14,float,,Engineering
Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.,program_percentage.engineering_technology,PCIP15,float,,Engineering Technologies and Engineering-Related Fields
"Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics.",program_percentage.language,PCIP16,float,,"Foreign Languages, Literatures, and Linguistics"
Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.,program_percentage.family_consumer_science,PCIP19,float,,Family and Consumer Sciences/Human Sciences
Percentage of degrees awarded in Legal Professions And Studies.,program_percentage.legal,PCIP22,float,,Legal Professions and Studies
Percentage of degrees awarded in English Language And Literature/Letters.,program_percentage.english,PCIP23,float,,English Language and Literature/Letters
"Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities.",program_percentage.humanities,PCIP24,float,,"Liberal Arts and Sciences, General Studies and Humanities"
Percentage of degrees awarded in Library Science.,program_percentage.library,PCIP25,float,,Library Science
Percentage of degrees awarded in Biological And Biomedical Sciences.,program_percentage.biological,PCIP26,float,,Biological and Biomedical Sciences
Percentage of degrees awarded in Mathematics And Statistics.,program_percentage.mathematics,PCIP27,float,,Mathematics and Statistics
Percentage of degrees awarded in Military Technologies And Applied Sciences.,program_percentage.military,PCIP29,float,,Military Technologies and Applied Sciences
Percentage of degrees awarded in Multi/Interdisciplinary Studies.,program_percentage.multidiscipline,PCIP30,float,,Multi/Interdisciplinary Studies
"Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies.",program_percentage.parks_recreation_fitness,PCIP31,float,,"Parks, Recreation, Leisure, and Fitness Studies"
Percentage of degrees awarded in Philosophy And Religious Studies.,program_percentage.philosophy_religious,PCIP38,float,,Philosophy and Religious Studies
Percentage of degrees awarded in Theology And Religious Vocations.,program_percentage.theology_religious_vocation,PCIP39,float,,Theology and Religious Vocations
Percentage of degrees awarded in Physical Sciences.,program_percentage.physical_science,PCIP40,float,,Physical Sciences
Percentage of degrees awarded in Science Technologies/Technicians.,program_percentage.science_technology,PCIP41,float,,Science Technologies/Technicians
Percentage of degrees awarded in Psychology.,program_percentage.psychology,PCIP42,float,,Psychology
"Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",program_percentage.security_law_enforcement,PCIP43,float,,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services"
Percentage of degrees awarded in Public Administration And Social Service Professions.,program_percentage.public_administration_social_service,PCIP44,float,,Public Administration and Social Service Professions
Percentage of degrees awarded in Social Sciences.,program_percentage.social_science,PCIP45,float,,Social Sciences
Percentage of degrees awarded in Construction Trades.,program_percentage.construction,PCIP46,float,,Construction Trades
Percentage of degrees awarded in Mechanic And Repair Technologies/Technicians.,program_percentage.mechanic_repair_technology,PCIP47,float,,Mechanic and Repair Technologies/Technicians
Percentage of degrees awarded in Precision Production.,program_percentage.precision_production,PCIP48,float,,Precision Production
Percentage of degrees awarded in Transportation And Materials Moving.,program_percentage.transportation,PCIP49,float,,Transportation and Materials Moving
Percentage of degrees awarded in Visual And Performing Arts.,program_percentage.visual_performing,PCIP50,float,,Visual and Performing Arts
Percentage of degrees awarded in Health Professions And Related Programs.,program_percentage.health,PCIP51,float,,Health Professions and Related Programs
"Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services.",program_percentage.business_marketing,PCIP52,float,,"Business, Management, Marketing, and Related Support Services"
Percentage of degrees awarded in History.,program_percentage.history,PCIP54,float,,History
"Certificate of less than one academic year in Agriculture, Agriculture Operations, And Related Sciences.",program.certificate_lt_1_yr.agriculture,CIP01CERT1,integer,0,Program not offered
"Certificate of at least one but less than two academic years in Agriculture, Agriculture Operations, And Related Sciences.",program.certificate_lt_2_yr.agriculture,CIP01CERT2,integer,1,Program offered
"Associate degree in Agriculture, Agriculture Operations, And Related Sciences.",program.assoc.agriculture,CIP01ASSOC,integer,2,Program offered through an exclusively distance-education program
"Awards of at least two but less than four academic years in Agriculture, Agriculture Operations, And Related Sciences.",program.certificate_lt_4_yr.agriculture,CIP01CERT4,integer,,
"Bachelor's degree in Agriculture, Agriculture Operations, And Related Sciences.",program.bachelors.agriculture,CIP01BACHL,integer,,
Certificate of less than one academic year in Natural Resources And Conservation.,program.certificate_lt_1_yr.resources,CIP03CERT1,integer,,
Certificate of at least one but less than two academic years in Natural Resources And Conservation.,program.certificate_lt_2_yr.resources,CIP03CERT2,integer,,
Associate degree in Natural Resources And Conservation.,program.assoc.resources,CIP03ASSOC,integer,,
Award of at least two but less than four academic years in Natural Resources And Conservation.,program.certificate_lt_4_yr.resources,CIP03CERT4,integer,,
Bachelor's degree in Natural Resources And Conservation.,program.bachelors.resources,CIP03BACHL,integer,,
Certificate of less than one academic year in Architecture And Related Services.,program.certificate_lt_1_yr.architecture,CIP04CERT1,integer,,
Certificate of at least one but less than two academic years in Architecture And Related Services.,program.certificate_lt_2_yr.architecture,CIP04CERT2,integer,,
Associate degree in Architecture And Related Services.,program.assoc.architecture,CIP04ASSOC,integer,,
Award of more than two but less than four academic years in Architecture And Related Services.,program.certificate_lt_4_yr.architecture,CIP04CERT4,integer,,
Bachelor's degree in Architecture And Related Services.,program.bachelors.architecture,CIP04BACHL,integer,,
"Certificate of less than one academic year in Area, Ethnic, Cultural, Gender, And Group Studies.",program.certificate_lt_1_yr.ethnic_cultural_gender,CIP05CERT1,integer,,
"Certificate of at least one but less than two academic years in Area, Ethnic, Cultural, Gender, And Group Studies.",program.certificate_lt_2_yr.ethnic_cultural_gender,CIP05CERT2,integer,,
"Associate degree in Area, Ethnic, Cultural, Gender, And Group Studies.",program.assoc.ethnic_cultural_gender,CIP05ASSOC,integer,,
"Award of more than two but less than four academic years in Area, Ethnic, Cultural, Gender, And Group Studies.",program.certificate_lt_4_yr.ethnic_cultural_gender,CIP05CERT4,integer,,
"Bachelor's degree in Area, Ethnic, Cultural, Gender, And Group Studies.",program.bachelors.ethnic_cultural_gender,CIP05BACHL,integer,,
"Certificate of less than one academic year in Communication, Journalism, And Related Programs.",program.certificate_lt_1_yr.communication,CIP09CERT1,integer,,
"Certificate of at least one but less than two academic years in Communication, Journalism, And Related Programs.",program.certificate_lt_2_yr.communication,CIP09CERT2,integer,,
"Associate degree in Communication, Journalism, And Related Programs.",program.assoc.communication,CIP09ASSOC,integer,,
"Award of more than two but less than four academic years in Communication, Journalism, And Related Programs.",program.certificate_lt_4_yr.communication,CIP09CERT4,integer,,
"Bachelor's degree in Communication, Journalism, And Related Programs.",program.bachelors.communication,CIP09BACHL,integer,,
Certificate of less than one academic year in Communications Technologies/Technicians And Support Services.,program.certificate_lt_1_yr.communications_technology,CIP10CERT1,integer,,
Certificate of at least one but less than two academic years in Communications Technologies/Technicians And Support Services.,program.certificate_lt_2_yr.communications_technology,CIP10CERT2,integer,,
Associate degree in Communications Technologies/Technicians And Support Services.,program.assoc.communications_technology,CIP10ASSOC,integer,,
Award of more than two but less than four academic years in Communications Technologies/Technicians And Support Services.,program.certificate_lt_4_yr.communications_technology,CIP10CERT4,integer,,
Bachelor's degree in Communications Technologies/Technicians And Support Services.,program.bachelors.communications_technology,CIP10BACHL,integer,,
Certificate of less than one academic year in Computer And Information Sciences And Support Services.,program.certificate_lt_1_yr.computer,CIP11CERT1,integer,,
Certificate of at least one but less than two academic years in Computer And Information Sciences And Support Services.,program.certificate_lt_2_yr.computer,CIP11CERT2,integer,,
Associate degree in Computer And Information Sciences And Support Services.,program.assoc.computer,CIP11ASSOC,integer,,
Award of more than two but less than four academic years in Computer And Information Sciences And Support Services.,program.certificate_lt_4_yr.computer,CIP11CERT4,integer,,
Bachelor's degree in Computer And Information Sciences And Support Services.,program.bachelors.computer,CIP11BACHL,integer,,
Certificate of less than one academic year in Personal And Culinary Services.,program.certificate_lt_1_yr.personal_culinary,CIP12CERT1,integer,,
Certificate of at least one but less than two academic years in Personal And Culinary Services.,program.certificate_lt_2_yr.personal_culinary,CIP12CERT2,integer,,
Associate degree in Personal And Culinary Services.,program.assoc.personal_culinary,CIP12ASSOC,integer,,
Award of more than two but less than four academic years in Personal And Culinary Services.,program.certificate_lt_4_yr.personal_culinary,CIP12CERT4,integer,,
Bachelor's degree in Personal And Culinary Services.,program.bachelors.personal_culinary,CIP12BACHL,integer,,
Certificate of less than one academic year in Education.,program.certificate_lt_1_yr.education,CIP13CERT1,integer,,
Certificate of at least one but less than two academic years in Education.,program.certificate_lt_2_yr.education,CIP13CERT2,integer,,
Associate degree in Education.,program.assoc.education,CIP13ASSOC,integer,,
Award of more than two but less than four academic years in Education.,program.certificate_lt_4_yr.education,CIP13CERT4,integer,,
Bachelor's degree in Education.,program.bachelors.education,CIP13BACHL,integer,,
Certificate of less than one academic year in Engineering.,program.certificate_lt_1_yr.engineering,CIP14CERT1,integer,,
Certificate of at least one but less than two academic years in Engineering.,program.certificate_lt_2_yr.engineering,CIP14CERT2,integer,,
Associate degree in Engineering.,program.assoc.engineering,CIP14ASSOC,integer,,
Award of more than two but less than four academic years in Engineering.,program.certificate_lt_4_yr.engineering,CIP14CERT4,integer,,
Bachelor's degree in Engineering.,program.bachelors.engineering,CIP14BACHL,integer,,
Certificate of less than one academic year in Engineering Technologies And Engineering-Related Fields.,program.certificate_lt_1_yr.engineering_technology,CIP15CERT1,integer,,
Certificate of at least one but less than two academic years in Engineering Technologies And Engineering-Related Fields.,program.certificate_lt_2_yr.engineering_technology,CIP15CERT2,integer,,
Associate degree in Engineering Technologies And Engineering-Related Fields.,program.assoc.engineering_technology,CIP15ASSOC,integer,,
Award of more than two but less than four academic years in Engineering Technologies And Engineering-Related Fields.,program.certificate_lt_4_yr.engineering_technology,CIP15CERT4,integer,,
